service_type,subject_rf,value_cost,value_competition,value_cost_count,value_competition_count
Инженерные системы,Курганская область,29.45177983932409,-9.8415362299231,3816,189
Инженерные системы,Курская область,436.9236936978692,-15.61271614108523,1399,1376
Инженерные системы,Ленинградская область,621.7948964443688,1051.8963861914401,1441,730
Инженерные системы,Липецкая область,302.3126187535649,-0.34722495810779197,2532,2532
Инженерные системы,Магаданская область,697.5599143259954,-27.003917686177086,49,49
Инженерные системы,Москва,266.33787956413676,0.0,42426,42426
Инженерные системы,Московская область,26.428758617098307,49931.14684187962,233348,25185
Инженерные системы,Мурманская область,307.5799332529718,-2.4268629737166596,615,615
Инженерные системы,Ненецкий автономный округ,810.175635380105,8.683685142055449,34,34
Инженерные системы,Нижегородская область,406.77836229370405,14.26069140655114,2779,2689
Инженерные системы,Новгородская область,206.0758741646929,-2.279793290467593,795,773
Инженерные системы,Новосибирская область,264.81579797669997,-6.564988406924462,3565,3561
Инженерные системы,Омская область,,,0,0
Инженерные системы,Оренбургская область,210.04560430864663,-5.454506408441555,1126,1126
Инженерные системы,Орловская область,297.9733371156429,-4.875462224843479,717,137
Инженерные системы,Пензенская область,331.953142839931,-1.9460682286553639,837,795
Инженерные системы,Пермский край,112.18950962483808,-66.37672498239786,373,373
Инженерные системы,Приморский край,164.29589410592968,-37.54746986190444,806,808
Инженерные системы,Псковская область,17.23451725229533,-94.2113766939564,14660,14660
Инженерные системы,Республика Адыгея,13.654262500549727,-16.388106188489417,2455,112
Инженерные системы,Республика Алтай,476.24237862043435,-4.101944984946271,9,9
Инженерные системы,Республика Башкортостан,226.1105601140864,0.0,3292,3302
Инженерные системы,Республика Бурятия,135.16722350521124,-25.738008907111777,266,266
Инженерные системы,Республика Дагестан,2.1895648665243734,-90.17778908291811,13345,1023
Инженерные системы,Республика Ингушетия,0.0,-100.0,585,583
Инженерные системы,Республика Калмыкия,,,0,0
Инженерные системы,Республика Карелия,1.9791990653133473,-99.44263526174296,25213,25212
Инженерные системы,Республика Коми,44.43836372892822,0.0,94,7
Инженерные системы,Республика Крым,0.6107101864926636,-99.91361271572542,10980,10980
Инженерные системы,Республика Марий Эл,863.4481370986877,7.500632271653469,227,225
Инженерные системы,Республика Мордовия,306.6830047095798,0.29857285683121804,521,546
Инженерные системы,Республика Саха (Якутия),18.615579656615928,-30.621991200780332,14236,734
Инженерные системы,Республика Северная Осетия-Алания,1.4893164743258624,-99.09768502306326,10703,8927
Инженерные системы,Республика Татарстан,34.20671513124476,0.0,57007,7595
Инженерные системы,Республика Тыва,190.49978927966012,1.7928626339456595,274,273
Инженерные системы,Ростовская область,647.5467483387549,13.284859690007389,3052,2977
Инженерные системы,Рязанская область,24.195854094400907,4.546983468811726,19692,1640
Инженерные системы,Самарская область,528.6676404820407,-0.6791312379177981,3886,3875
Инженерные системы,Санкт-Петербург,661.22091264572,5.7510265409769685,4785,4785
Инженерные системы,Саратовская область,80.44300988927658,,358,0
Инженерные системы,Сахалинская область,120.52174747281414,10.378221052494375,12028,1197
Инженерные системы,Свердловская область,46.90690873931226,-90.21413107528767,118971,118971
Инженерные системы,Севастополь,663.1040108303836,-13.746862512919515,210,195
Инженерные системы,Смоленская область,,,0,0
Инженерные системы,Ставропольский край,352.82195293496846,21.443114360877384,2227,1977
Инженерные системы,Тамбовская область,376.8710711133736,0.0,614,612
Инженерные системы,Тверская область,248.3884443329345,-38.90276400168767,272,224
Инженерные системы,Томская область,542.0132875417354,-0.016423672095212255,228,228
Инженерные системы,Тульская область,501.3740759875682,4.067554428821684,3773,3502
Инженерные системы,Тюменская область,407.4283287377977,-14.792895463089007,2141,2137
Инженерные системы,Удмуртская Республика,261.24380863116795,55.30299529033369,586,575
Инженерные системы,Ульяновская область,474.9304634728678,26.119622303475975,876,876
Инженерные системы,Хабаровский край,202.95804654824872,0.0,511,511
Инженерные системы,Ханты-Мансийский автономный округ — Югра,53.25514605058745,-46.05578245412321,20678,4782
Инженерные системы,Челябинская область,8.877404003615785,3.380391982711057,119653,2587
Инженерные системы,Чеченская Республика,185.9046915674345,20.7784782165337,583,582
Инженерные системы,Чувашская Республика,292.20231279059533,-8.178537711919374,902,902
Инженерные системы,Чукотский автономный округ,1160.7543213319454,-0.8177008702744994,22,22
Инженерные системы,Ямало-Ненецкий автономный округ,419.1948515876305,-3.440794872498671,343,342
Инженерные системы,Ярославская область,327.2077910314521,-7.399342162341902,173,173
Лифтовое оборудование,Амурская область,139.57541839891528,-85.10650377852329,353,353
Лифтовое оборудование,Архангельская область,224.71077847067775,-1.888339124720368,858,858
Лифтовое оборудование,Астраханская область,997.6600121516349,0.0,12,12
Лифтовое оборудование,Белгородская область,176.99957296677576,0.06434060345241649,922,922
Лифтовое оборудование,Брянская область,22.98536575984504,-96.84958385388103,684,684
Лифтовое оборудование,Владимирская область,165.2310264064437,-19.948903966838838,986,893
Лифтовое оборудование,Волгоградская область,82.91065611575392,-90.03889184250673,1766,1756
Лифтовое оборудование,Вологодская область,704.9785981831549,-8.552469626359226,112,26
Лифтовое оборудование,Воронежская область,863.4128936235264,-0.829890068897327,138,138
Лифтовое оборудование,Еврейская автономная область,0.0,-100.0,3,3
Лифтовое оборудование,Забайкальский край,745.0714325206447,0.4845630429207039,37,37
Лифтовое оборудование,Ивановская область,19.90836668809394,-2.836201845238093,328,10
Лифтовое оборудование,Иркутская область,726.8937336118245,-6.231034367262209,257,257
Лифтовое оборудование,Кабардино-Балкарская Республика,172.2196961975672,,160,0
Лифтовое оборудование,Калининградская область,95.90122562196937,0.0,622,58
Лифтовое оборудование,Калужская область,808.3657754216712,-2.3431802933043935,292,291
Лифтовое оборудование,Камчатский край,,,0,0
Лифтовое оборудование,Карачаево-Черкесская Республика,51.10440476351894,-92.53916700549813,90,90
Лифтовое оборудование,Кемеровская область,625.0966387541424,-0.3406060198353692,554,557
Лифтовое оборудование,Кировская область,169.48965975796008,-14.509837086044476,555,555
Лифтовое оборудование,Костромская область,33.26788710638482,-30.498375265523798,451,34
Лифтовое оборудование,Краснодарский край,696.4700764759878,-9.686005590905227,292,292
Лифтовое оборудование,Красноярский край,74.25579728291349,-35.20575371551796,2966,2966
Лифтовое оборудование,Курганская область,128.51244888696945,-0.5972602638470964,419,73
Лифтовое оборудование,Курская область,536.1878170160505,-56.5742946903588,38,38
Лифтовое оборудование,Ленинградская область,500.0312659719816,-99.92232908801233,1369,1058
Лифтовое оборудование,Липецкая область,643.4033828629074,0.0,203,203
Лифтовое оборудование,Магаданская область,661.72469269303,-38.61305977126462,28,28
Лифтовое оборудование,Москва,195.8045586146545,0.0,13475,13475
Лифтовое оборудование,Московская область,130.70276695293433,-34.91960014626397,12611,4458
Лифтовое оборудование,Мурманская область,1002.1978759331242,-3.797335402537824,173,173
Лифтовое оборудование,Ненецкий автономный округ,,,0,0
Лифтовое оборудование,Нижегородская область,593.8203530576633,0.7430816941705338,435,424
Лифтовое оборудование,Новгородская область,257.2959421314265,7.373047556717589,132,131
Лифтовое оборудование,Новосибирская область,618.1990794405043,-2.2706479902232033,181,181
Лифтовое оборудование,Омская область,,,0,0
Лифтовое оборудование,Оренбургская область,659.5633385968132,-2.008484354941658,248,248
Лифтовое оборудование,Орловская область,543.3638700338847,-0.6355405219080499,85,39
Лифтовое оборудование,Пензенская область,332.18628398414893,0.02041067124824017,458,458
Лифтовое оборудование,Пермский край,816.2537300825333,-17.825785660118168,194,193
Лифтовое оборудование,Приморский край,818.5898455842987,-11.729276958173388,225,225
Лифтовое оборудование,Псковская область,48.039086815764364,-87.3973972468396,267,267
Лифтовое оборудование,Республика Адыгея,87.5411119165758,62.90637219784411,147,39
Лифтовое оборудование,Республика Алтай,409.0982678679424,0.0,1,1
Лифтовое оборудование,Республика Башкортостан,805.0175652175632,0.0,647,647
Лифтовое оборудование,Республика Бурятия,523.1183917542046,-28.150126180906945,56,56
Лифтовое оборудование,Республика Дагестан,0.0,-100.0,467,4
Лифтовое оборудование,Республика Калмыкия,1002.8598345601621,0.1160024025386508,12,12
Лифтовое оборудование,Республика Карелия,62.41620355867264,-90.75812220379467,508,508
Лифтовое оборудование,Республика Коми,169.89587378640778,0.0,4,2
Лифтовое оборудование,Республика Крым,30.63593094934128,-97.0842820543882,952,952
Лифтовое оборудование,Республика Марий Эл,568.7953536009977,-3.0559024674770927,59,59
Лифтовое оборудование,Республика Мордовия,405.1914718350719,0.10385396973196485,429,429
Лифтовое оборудование,Республика Саха (Якутия),78.29902448112243,-0.2699038029456362,591,81
Лифтовое оборудование,Республика Северная Осетия-Алания,265.2109817240309,-76.91695634680636,276,276
Лифтовое оборудование,Республика Татарстан,80.29378020731333,0.0,4169,691
Лифтовое оборудование,Республика Тыва,538.0606483311765,-1.349453201532902,5,5
Лифтовое оборудование,Республика Хакасия,705.3641024329545,-8.79488213020329,25,25
Лифтовое оборудование,Ростовская область,231.51410932541597,-3.182634334383276,1137,963
Лифтовое оборудование,Рязанская область,43.60634959713445,0.0,675,42
Лифтовое оборудование,Самарская область,634.1654822055746,-1.8014567182956365,167,167
Лифтовое оборудование,Санкт-Петербург,1410.044276974449,-4.21745841428224,196,193
Лифтовое оборудование,Саратовская область,,,0,0
Лифтовое оборудование,Сахалинская область,0.0,,32,0
Лифтовое оборудование,Свердловская область,102.77824044004899,-84.85032518168353,3476,3476
Лифтовое оборудование,Севастополь,423.4497702787999,-0.23621882050576848,246,230
Лифтовое оборудование,Смоленская область,,,0,0
Лифтовое оборудование,Ставропольский край,168.10067754355615,-52.04900141929854,364,364
Лифтовое оборудование,Тамбовская область,609.0847331321332,0.0,92,91
Лифтовое оборудование,Тверская область,685.4478198411402,-0.8295397946834571,170,168
Лифтовое оборудование,Томская область,166.73429238909424,-1.7617585986242295,625,625
Лифтовое оборудование,Тульская область,588.3747922147237,0.0,51,93
Лифтовое оборудование,Тюменская область,624.4467590270467,-12.352772583785578,190,190
Лифтовое оборудование,Удмуртская Республика,887.2631046377137,1.3095592078588134,98,92
Лифтовое оборудование,Ульяновская область,718.8754290839804,1.9791322945160774,54,54
Лифтовое оборудование,Хабаровский край,633.5054666666275,0.0,312,312
Лифтовое оборудование,Ханты-Мансийский автономный округ — Югра,177.00494600374094,-30.479271158758298,1193,349
Лифтовое оборудование,Челябинская область,23.684479177037268,-10.749641955104442,9956,1424
Лифтовое оборудование,Чеченская Республика,223.99646297493769,0.0,32,32
Лифтовое оборудование,Чувашская Республика,538.2094008693591,46.45314623778999,26,26
Лифтовое оборудование,Ямало-Ненецкий автономный округ,1074.6553682497743,-7.0457855319366045,83,83
Лифтовое оборудование,Ярославская область,69.82326244924313,0.0,1,1
Ремонт кровли ,-,,,0,0
Ремонт кровли ,Алтайский край,1749.5037666701844,1.5299831684001692,786,751
Ремонт кровли ,Амурская область,300.3064542293846,-89.44940627404783,4417,4417
Ремонт кровли ,Архангельская область,1707.4369109102195,12.409168069013251,908,908
Ремонт кровли ,Астраханская область,439.71373159349105,-1.8618210624004355e-06,56,56
Ремонт кровли ,Белгородская область,839.0891897900196,0.8236497920960688,1576,1576
Ремонт кровли ,Брянская область,376.19574229410966,-77.22514316293238,6372,6372
Ремонт кровли ,Владимирская область,1381.250520471538,-5.526306034829856,2157,2120
Ремонт кровли ,Волгоградская область,183.24552280104382,-90.6235515776066,11225,11049
Ремонт кровли ,Вологодская область,1973.7909870662286,-3.044367549099209,907,540
Ремонт кровли ,Воронежская область,2059.376293269323,4.991831453786263,1092,1092
Ремонт кровли ,Еврейская автономная область,34.421158380392,-97.45360378795219,2137,2137
Ремонт кровли ,Забайкальский край,841.9966031858701,3.48918616047843,292,291
Ремонт кровли ,Ивановская область,191.38084887946113,-66.4092425456625,7630,2140
Ремонт кровли ,Иркутская область,993.3306297728382,-16.582289987973635,858,855
Ремонт кровли ,Кабардино-Балкарская Республика,13.881132476713239,-100.0,4522,98
Ремонт кровли ,Калининградская область,311.74902996320094,-0.846262341325811,15022,1418
Ремонт кровли ,Калужская область,2529.025108128859,21.81445940253774,905,868
Ремонт кровли ,Камчатский край,1295.7778548320707,-7.421888706378294,450,449
Ремонт кровли ,Карачаево-Черкесская Республика,354.0705061868061,-75.65903941322937,1051,1051
Ремонт кровли ,Кемеровская область,1090.59681477788,-2.1776996014226193,854,866
Ремонт кровли ,Кировская область,908.6571811213817,-11.92139956151739,846,845
Ремонт кровли ,Костромская область,176.5537792756681,-83.86142054663068,8623,3405
Ремонт кровли ,Краснодарский край,845.5299896155462,-6.90460356328295,1026,1017
Ремонт кровли ,Красноярский край,221.59409650448166,-91.9939089764322,14502,14502
Ремонт кровли ,Курганская область,167.8195845540884,-6.615449356528837,5703,741
Ремонт кровли ,Курская область,2087.4963367420737,290.9439028385497,701,697
Ремонт кровли ,Ленинградская область,1713.3012826076383,2539.79613010435,1603,672
Ремонт кровли ,Липецкая область,954.2153920204488,-0.7613714996352261,1050,1050
Ремонт кровли ,Магаданская область,3297.5246227977673,-20.223913989674703,132,132
Ремонт кровли ,Москва,652.8813415482756,0.0,4367,4367
Ремонт кровли ,Московская область,150.00694028331947,-12.8157130117079,50337,11649
Ремонт кровли ,Мурманская область,1659.4259184700172,-2.8258895302174434,332,332
Ремонт кровли ,Ненецкий автономный округ,3165.5488516840496,3.5336401059760374,31,31
Ремонт кровли ,Нижегородская область,1724.8770667465562,27.116334517758176,1442,1377
Ремонт кровли ,Новгородская область,1705.548406237106,-1.544266528177533,1118,1115
Ремонт кровли ,Новосибирская область,1980.6792280261884,-4.097733845017929,1191,1191
Ремонт кровли ,Омская область,1241.1656916996048,0.0,1,1
Ремонт кровли ,Оренбургская область,1411.6277564878287,-3.5066867162841553,1084,1073
Ремонт кровли ,Орловская область,1673.1075691196447,0.4045674792617372,419,182
Ремонт кровли ,Пензенская область,1231.2724995759963,-0.2473682194483427,585,624
Ремонт кровли ,Пермский край,609.8888721788891,146.27201633385874,437,437
Ремонт кровли ,Приморский край,2245.233104603693,-16.260770735916182,1232,1239
Ремонт кровли ,Псковская область,143.68181051918853,-86.51422376793684,4840,4840
Ремонт кровли ,Республика Адыгея,69.65747854689515,-35.021466145999234,1682,109
Ремонт кровли ,Республика Алтай,1315.7044116459012,-5.220613258776133,97,97
Ремонт кровли ,Республика Башкортостан,1222.2597444782284,-0.09730781706130393,3075,3083
Ремонт кровли ,Республика Бурятия,840.3714044545094,-23.184992137034254,323,327
Ремонт кровли ,Республика Дагестан,29.38354748428375,-46.36601554284012,5472,919
Ремонт кровли ,Республика Ингушетия,3.3265720081135903,-99.65870307167235,290,293
Ремонт кровли ,Республика Калмыкия,2749.803949654155,-3.43958412884046,22,22
Ремонт кровли ,Республика Карелия,47.449215345851805,-96.57311309122395,7058,7057
Ремонт кровли ,Республика Коми,863.2250928434439,0.0,53,16
Ремонт кровли ,Республика Крым,14.98617380377836,-98.74383567090258,11303,11303
Ремонт кровли ,Республика Марий Эл,1783.8905287240011,11.573505120191824,330,329
Ремонт кровли ,Республика Мордовия,1390.2824143593377,0.037911348211938874,829,862
Ремонт кровли ,Республика Саха (Якутия),60.13478533669842,-28.123136266656232,4342,237
Ремонт кровли ,Республика Северная Осетия-Алания,53.564789262641526,-95.69040298797273,2541,2541
Ремонт кровли ,Республика Татарстан,202.16389131135543,0.0,16954,2597
Ремонт кровли ,Республика Тыва,1613.1720265361341,-4.7732241375616535,32,32
Ремонт кровли ,Республика Хакасия,1169.458383249491,-0.8896568842575872,408,408
Ремонт кровли ,Ростовская область,3038.9489706664504,-0.6043109396062271,1193,1144
Ремонт кровли ,Рязанская область,137.7411237726918,-43.044076321205786,5043,494
Ремонт кровли ,Самарская область,1327.1350805144357,7.543802419876464,2416,2415
Ремонт кровли ,Санкт-Петербург,1315.9296203467131,1.2810227545948931,1744,1744
Ремонт кровли ,Саратовская область,1067.8819740196668,,629,0
Ремонт кровли ,Сахалинская область,1247.977757844716,-1.6227188244892614,2767,982
Ремонт кровли ,Свердловская область,311.715942490417,-83.74693828577514,28252,28252
Ремонт кровли ,Севастополь,2214.3204984567133,-1.712651076474872,468,450
Ремонт кровли ,Смоленская область,,,0,0
Ремонт кровли ,Ставропольский край,2401.6790327078534,9.61698249863221,1494,1471
Ремонт кровли ,Тамбовская область,1126.3424538115444,0.0,662,665
Ремонт кровли ,Тверская область,1116.83085991047,-16.941395302361688,751,737
Ремонт кровли ,Томская область,2922.3719783342276,-4.292388467326987,496,496
Ремонт кровли ,Тульская область,1650.4041709958146,8.939357312930245,1583,985
Ремонт кровли ,Тюменская область,2519.979516905231,-8.027371440390166,1076,1076
Ремонт кровли ,Удмуртская Республика,1618.7986869118997,1.0274985560675327,698,693
Ремонт кровли ,Ульяновская область,1873.0624052964988,17.37723301858843,493,493
Ремонт кровли ,Хабаровский край,698.3516095492115,0.0,674,674
Ремонт кровли ,Ханты-Мансийский автономный округ — Югра,338.5132212253061,-31.49007208402577,4629,1509
Ремонт кровли ,Челябинская область,47.804112641746805,-7.905689748322775,22910,912
Ремонт кровли ,Чеченская Республика,492.88364278459994,-10.083894181849347,118,117
Ремонт кровли ,Чувашская Республика,914.9948611416872,-2.9196801230393876,345,346
Ремонт кровли ,Чукотский автономный округ,1486.3520566403256,-1.315635262209249,28,28
Ремонт кровли ,Ямало-Ненецкий автономный округ,1520.4830514996127,-8.182769573026722,222,222
Ремонт кровли ,Ярославская область,1641.3328143371896,-2.3251092632711656,786,786
Ремонт фасада,-,,,0,0
Ремонт фасада,Алтайский край,1885.068383110375,7.298151370349994,163,163
Ремонт фасада,Амурская область,5.035353723701012,-99.69371485703682,4413,4413
Ремонт фасада,Архангельская область,1569.3834519565712,21.50573414563868,340,340
Ремонт фасада,Астраханская область,195.46712763639061,0.0,67,67
Ремонт фасада,Белгородская область,593.6599674786912,2.192114361694182,848,848
Ремонт фасада,Брянская область,5.138241032292225,-99.54817904147652,6385,6385
Ремонт фасада,Владимирская область,811.0194898097684,-40.71799235688478,521,424
Ремонт фасада,Волгоградская область,102.15008497939789,-95.03770287792248,10913,10730
Ремонт фасада,Вологодская область,1072.7024079758435,1.2064552256394672,317,198
Ремонт фасада,Воронежская область,2350.095178089557,7.5373660437354015,624,623
Ремонт фасада,Еврейская автономная область,9.350317577851143,-99.56929677662944,1092,1092
Ремонт фасада,Забайкальский край,820.4776593437305,10.420476856151568,75,75
Ремонт фасада,Ивановская область,66.63740657035747,-54.59564671112924,4677,428
Ремонт фасада,Иркутская область,822.0062281207125,-17.204650236635988,552,551
Ремонт фасада,Калининградская область,180.23066009567432,-0.5033557046979866,15026,596
Ремонт фасада,Калужская область,2461.2229916745787,12.637480766219769,297,245
Ремонт фасада,Камчатский край,4490.054327771397,-9.161288950491956,175,175
Ремонт фасада,Карачаево-Черкесская Республика,40.97220811721086,-92.39326744623806,501,501
Ремонт фасада,Кемеровская область,828.8241157676038,-2.3547609334869994,125,124
Ремонт фасада,Кировская область,949.5975006871923,-11.040234203583443,547,544
Ремонт фасада,Костромская область,46.23005365902336,-94.60632401124855,5681,2420
Ремонт фасада,Краснодарский край,864.7931587739542,-6.555179929832327,252,247
Ремонт фасада,Красноярский край,19.426229146398327,-99.09679417740475,14148,14148
Ремонт фасада,Курганская область,75.16418087503848,-8.73607111330118,3836,322
Ремонт фасада,Курская область,1533.96129105826,326.98046361726546,653,652
Ремонт фасада,Ленинградская область,1751.8395219798845,5.822911159745704,1239,614
Ремонт фасада,Липецкая область,714.5259422881168,-0.27427080706188706,759,759
Ремонт фасада,Магаданская область,1639.810055593611,-33.75934651437747,15,15
Ремонт фасада,Москва,1030.2285165936883,0.0,4768,4768
Ремонт фасада,Московская область,95.88945581356593,-25.006570187429187,53842,13936
Ремонт фасада,Мурманская область,1550.5223769813708,2.9550646980921007,167,167
Ремонт фасада,Ненецкий автономный округ,5752.553945964051,43.66488948084823,13,13
Ремонт фасада,Нижегородская область,1214.759651911975,41.82504946194401,1131,1002
Ремонт фасада,Новгородская область,701.0868223190046,-0.7721432676782041,96,93
Ремонт фасада,Новосибирская область,1504.7276767425487,-5.031855713538424,416,416
Ремонт фасада,Омская область,,,0,0
Ремонт фасада,Оренбургская область,1220.2219498669485,-4.416018627595025,418,418
Ремонт фасада,Орловская область,1149.3912223285279,21.60519247430902,351,172
Ремонт фасада,Пензенская область,724.6680801691681,0.0,230,176
Ремонт фасада,Пермский край,207.96230722193079,-68.4966169643149,146,145
Ремонт фасада,Приморский край,1304.5887135104085,-33.110504639341784,291,297
Ремонт фасада,Псковская область,63.46425917581424,-82.11496891553747,4997,4997
Ремонт фасада,Республика Адыгея,36.77545474024007,-19.56695678120526,1273,62
Ремонт фасада,Республика Алтай,793.9916686909118,-5.074708314263373,21,21
Ремонт фасада,Республика Башкортостан,615.7515002151067,-0.05268703898840885,1897,1898
Ремонт фасада,Республика Бурятия,464.26744052135837,-25.760358440463442,13,14
