service_type,subject_rf,value_cost,value_competition
Благоустройство,Архангельская область,788.9619797225736,-0.28576259883450394
Благоустройство,Астраханская область,24.39197501656099,0.0
Благоустройство,Воронежская область,114.41364864337523,-0.2785933181087677
Благоустройство,Иркутская область,234.89287013323644,0.007727280599076313
Благоустройство,Ненецкий автономный округ,2666.9357601190713,-0.01096639305896379
Благоустройство,Омская область,,
Благоустройство,Оренбургская область,55.70942239541068,0.1239770335707876
Благоустройство,Орловская область,176.53564162767694,0.31739259863434044
Благоустройство,Республика Коми,,
Благоустройство,Республика Татарстан,251.63775910124636,0.0
Благоустройство,Саратовская область,,
Благоустройство,Ульяновская область,293.1014792052317,-0.6852244510176101
ИРД,Алтайский край,1181.1304226600948,-0.005569813904836724
ИРД,Амурская область,2.4177123305169026,0.9641038085692564
ИРД,Архангельская область,41.73511196856825,-inf
ИРД,Астраханская область,77.75625086097624,0.0012139301587301588
ИРД,Белгородская область,37.949108926576656,-0.00494606387822077
ИРД,Владимирская область,86.07474466659785,-inf
ИРД,Волгоградская область,17.965953362944447,-inf
ИРД,Вологодская область,,
ИРД,Воронежская область,64.49611738625755,-inf
ИРД,Забайкальский край,60.91819169287593,0.03463467898332599
ИРД,Иркутская область,32.80562714261361,0.21630728458444995
ИРД,Кабардино-Балкарская Республика,0.0,
ИРД,Калининградская область,87.60868927716831,0.0
ИРД,Калужская область,92.28083240288126,-0.24826750622657667
ИРД,Камчатский край,60.13625383426232,0.08107048189718613
ИРД,Кемеровская область,23.81175306759229,-inf
ИРД,Краснодарский край,26.02126196100894,0.168479782831563
ИРД,Курганская область,4.848860749573037,-inf
ИРД,Курская область,102.03420269974316,-inf
ИРД,Ленинградская область,391.526706850938,-inf
ИРД,Липецкая область,46.61660142621129,0.011210208214525353
ИРД,Москва,153.14926768718433,0.0
ИРД,Московская область,inf,-inf
ИРД,Мурманская область,20.86295294219058,0.08728144481940393
ИРД,Нижегородская область,50.33525396573002,-inf
ИРД,Омская область,88.29610447100683,0.163718315785993
ИРД,Оренбургская область,30.88236490580933,0.035567473756735794
ИРД,Орловская область,43.31541328843472,-inf
ИРД,Пензенская область,120.73762230648528,0.002873563559222696
ИРД,Пермский край,26.622306440852196,-inf
ИРД,Приморский край,141.4054085593144,-0.16701130549672943
ИРД,Псковская область,2.3772249306065594,0.9645060580666887
ИРД,Республика Адыгея,29.014057079861658,-inf
ИРД,Республика Алтай,152.2100283152094,0.17201972484449204
ИРД,Республика Башкортостан,8.457010338019787,0.0
ИРД,Республика Бурятия,inf,0.017694759978809385
ИРД,Республика Калмыкия,50.32392341782001,0.013580503763744773
ИРД,Республика Карелия,20.25936624831655,-inf
ИРД,Республика Коми,87.39487686858195,0.0
ИРД,Республика Мордовия,,
ИРД,Республика Саха (Якутия),39.30490686997625,0.8144580219879615
ИРД,Республика Северная Осетия-Алания,0.8542160922112612,0.9730028523937727
ИРД,Республика Татарстан,28.20022415697441,0.0
ИРД,Республика Тыва,24.309217598260986,0.0
ИРД,Ростовская область,45.41718496850242,-inf
ИРД,Самарская область,628.0285867614921,-inf
