service_type,subject_rf,value_cost,value_competition
ИРД,Сахалинская область,72.5827133077191,0.3226218954983086
ИРД,Свердловская область,9.8627934720621,-0.8975322196516514
ИРД,Севастополь,75.36065494023754,0.15416649852764633
ИРД,Смоленская область,,
ИРД,Ставропольский край,0.0,1.0
ИРД,Тамбовская область,25.820225741736675,0.0
ИРД,Тверская область,56.934005152838104,0.4114592160381815
ИРД,Томская область,35.040593041106135,0.07511922119311888
ИРД,Тульская область,inf,0.0
ИРД,Тюменская область,56.183918283017015,0.20692626832989924
ИРД,Ульяновская область,36.634753769037715,0.15357028458967653
ИРД,Хабаровский край,32.38716681119531,0.0
ИРД,Ханты-Мансийский автономный округ — Югра,7.42136787866208,-inf
ИРД,Челябинская область,19.471112816564638,-inf
ИРД,Чеченская Республика,54.10587325497799,0.0
ИРД,Чувашская Республика,134.6012740361723,0.32647941903928096
ИРД,Чукотский автономный округ,103.8234571012595,0.022768688792546884
ИРД,Ямало-Ненецкий автономный округ,41.23787928811939,0.1636339544018537
ИРД,Ярославская область,109.54046400641575,0.04768154922429155
Инженерные системы,-,,
Инженерные системы,Алтайский край,499.05748133212535,-inf
Инженерные системы,Амурская область,6.840081380933778,0.9869409104009251
Инженерные системы,Архангельская область,382.68138073925087,-0.6511230733507205
Инженерные системы,Астраханская область,145.50226756324855,-0.02738888660043024
Инженерные системы,Белгородская область,246.15133803551558,-0.025933910795578292
Инженерные системы,Брянская область,16.36703031978641,0.9298191509915527
Инженерные системы,Владимирская область,213.55532209395167,-inf
Инженерные системы,Волгоградская область,14.750129409192748,-inf
Инженерные системы,Вологодская область,248.95263711878567,-inf
Инженерные системы,Воронежская область,655.347841081868,-inf
Инженерные системы,Еврейская автономная область,22.581315518418617,0.9729960866445979
Инженерные системы,Забайкальский край,343.1305732644257,-inf
Инженерные системы,Ивановская область,56.91824546781101,-inf
Инженерные системы,Иркутская область,201.78503573036429,0.21124926755715204
Инженерные системы,Кабардино-Балкарская Республика,2.0888038471821604,-inf
Инженерные системы,Калининградская область,3.2970045207540366,0.0033783783783783786
Инженерные системы,Калужская область,242.6764039861407,-0.07355140136291831
Инженерные системы,Камчатский край,549.6119171613497,0.2713613894669547
Инженерные системы,Карачаево-Черкесская Республика,29.36594983515107,0.8904978596841607
Инженерные системы,Кемеровская область,287.81605202062053,0.09428171478297231
Инженерные системы,Кировская область,294.19709474348673,0.12405343787906127
Инженерные системы,Костромская область,14.471246935510866,-inf
Инженерные системы,Краснодарский край,250.5214830486881,-inf
Инженерные системы,Красноярский край,8.9062681171265,0.9830506635248485
Инженерные системы,Курганская область,29.45177983932409,0.098415362299231
Инженерные системы,Курская область,436.9236936978692,-inf
Инженерные системы,Ленинградская область,621.7948964443688,-inf
Инженерные системы,Липецкая область,302.3126187535649,0.003472249581077921
Инженерные системы,Магаданская область,697.5599143259954,0.2700391768617708
Инженерные системы,Москва,266.33787956413676,0.0
Инженерные системы,Московская область,inf,-inf
Инженерные системы,Мурманская область,307.5799332529718,0.024268629737166616
Инженерные системы,Ненецкий автономный округ,810.175635380105,-0.08683685142055451
Инженерные системы,Нижегородская область,406.77836229370405,-0.14260691406551146
Инженерные системы,Новгородская область,206.0758741646929,0.022797932904675938
Инженерные системы,Новосибирская область,264.81579797669997,0.06564988406924467
Инженерные системы,Омская область,,
Инженерные системы,Оренбургская область,210.04560430864663,0.0545450640844156
Инженерные системы,Орловская область,297.9733371156429,-inf
Инженерные системы,Пензенская область,331.953142839931,0.019460682286553635
Инженерные системы,Пермский край,112.18950962483808,0.6637672498239784
Инженерные системы,Приморский край,164.29589410592968,0.3754746986190445
Инженерные системы,Псковская область,17.23451725229533,0.942113766939564
Инженерные системы,Республика Адыгея,13.654262500549727,-inf
Инженерные системы,Республика Алтай,476.24237862043435,0.04101944984946272
Инженерные системы,Республика Башкортостан,226.1105601140864,0.0
Инженерные системы,Республика Бурятия,135.16722350521124,0.25738008907111787
Инженерные системы,Республика Дагестан,2.1895648665243734,0.9017778908291809
Инженерные системы,Республика Ингушетия,0.0,1.0
Инженерные системы,Республика Калмыкия,,
Инженерные системы,Республика Карелия,1.9791990653133473,0.99442635261743
Инженерные системы,Республика Коми,44.43836372892822,0.0
Инженерные системы,Республика Крым,0.6107101864926636,0.9991361271572525
Инженерные системы,Республика Марий Эл,863.4481370986877,-0.07500632271653468
Инженерные системы,Республика Мордовия,306.6830047095798,-0.002985728568312183
Инженерные системы,Республика Саха (Якутия),18.615579656615928,0.3062199120078033
Инженерные системы,Республика Северная Осетия-Алания,1.4893164743258624,0.9909768502306323
Инженерные системы,Республика Татарстан,34.20671513124476,0.0
Инженерные системы,Республика Тыва,190.49978927966012,-0.017928626339456594
Инженерные системы,Ростовская область,647.5467483387549,-inf
Инженерные системы,Рязанская область,24.195854094400907,-inf
Инженерные системы,Самарская область,528.6676404820407,-inf
Инженерные системы,Санкт-Петербург,661.22091264572,-0.057510265409769626
Инженерные системы,Саратовская область,80.44300988927658,
Инженерные системы,Сахалинская область,120.52174747281414,-inf
Инженерные системы,Свердловская область,46.90690873931226,0.902141310752881
Инженерные системы,Севастополь,663.1040108303836,0.1374686251291951
Инженерные системы,Смоленская область,,
Инженерные системы,Ставропольский край,352.82195293496846,-inf
Инженерные системы,Тамбовская область,376.8710711133736,0.0
Инженерные системы,Тверская область,248.3884443329345,-inf
Инженерные системы,Томская область,542.0132875417354,0.00016423672095211824
Инженерные системы,Тульская область,inf,-inf
Инженерные системы,Тюменская область,407.4283287377977,0.1479289546308905
Инженерные системы,Удмуртская Республика,261.24380863116795,-0.5530299529033365
Инженерные системы,Ульяновская область,474.9304634728678,-0.2611962230347595
Инженерные системы,Хабаровский край,202.95804654824872,0.0
Инженерные системы,Ханты-Мансийский автономный округ — Югра,53.25514605058745,-inf
Инженерные системы,Челябинская область,8.877404003615785,-inf
Инженерные системы,Чеченская Республика,185.9046915674345,-0.20778478216533702
Инженерные системы,Чувашская Республика,292.20231279059533,0.08178537711919374
Инженерные системы,Чукотский автономный округ,1160.7543213319454,0.008177008702744994
Инженерные системы,Ямало-Ненецкий автономный округ,419.1948515876305,0.03440794872498677
Инженерные системы,Ярославская область,327.2077910314521,0.07399342162341908
Лифтовое оборудование,Амурская область,139.57541839891528,0.8510650377852328
Лифтовое оборудование,Архангельская область,224.71077847067775,0.01888339124720368
Лифтовое оборудование,Астраханская область,997.6600121516349,0.0
Лифтовое оборудование,Белгородская область,176.99957296677576,-0.0006434060345241666
Лифтовое оборудование,Брянская область,22.98536575984504,0.9684958385388105
Лифтовое оборудование,Владимирская область,165.2310264064437,-inf
Лифтовое оборудование,Волгоградская область,82.91065611575392,0.9003889184250669
Лифтовое оборудование,Вологодская область,704.9785981831549,-inf
Лифтовое оборудование,Воронежская область,863.4128936235264,0.008298900688973265
Лифтовое оборудование,Еврейская автономная область,0.0,1.0
Лифтовое оборудование,Забайкальский край,745.0714325206447,-0.004845630429207046
Лифтовое оборудование,Ивановская область,19.90836668809394,0.028362018452380962
Лифтовое оборудование,Иркутская область,726.8937336118245,0.06231034367262204
Лифтовое оборудование,Кабардино-Балкарская Республика,172.2196961975672,-inf
Лифтовое оборудование,Калининградская область,95.90122562196937,0.0
Лифтовое оборудование,Калужская область,808.3657754216712,0.023431802933043942
Лифтовое оборудование,Камчатский край,,
Лифтовое оборудование,Карачаево-Черкесская Республика,51.10440476351894,0.9253916700549811
Лифтовое оборудование,Кемеровская область,625.0966387541424,0.0034060601983536922
Лифтовое оборудование,Кировская область,169.48965975796008,0.14509837086044466
Лифтовое оборудование,Костромская область,33.26788710638482,0.304983752655238
Лифтовое оборудование,Краснодарский край,696.4700764759878,0.09686005590905226
Лифтовое оборудование,Красноярский край,74.25579728291349,0.35205753715517957
Лифтовое оборудование,Курганская область,128.51244888696945,0.005972602638470959
Лифтовое оборудование,Курская область,536.1878170160505,0.565742946903588
Лифтовое оборудование,Ленинградская область,500.0312659719816,-inf
Лифтовое оборудование,Липецкая область,643.4033828629074,0.0
Лифтовое оборудование,Магаданская область,661.72469269303,0.38613059771264646
Лифтовое оборудование,Москва,195.8045586146545,0.0
Лифтовое оборудование,Московская область,inf,-inf
Лифтовое оборудование,Мурманская область,1002.1978759331242,0.03797335402537824
Лифтовое оборудование,Ненецкий автономный округ,,
Лифтовое оборудование,Нижегородская область,593.8203530576633,-0.007430816941705344
Лифтовое оборудование,Новгородская область,257.2959421314265,-0.07373047556717599
Лифтовое оборудование,Новосибирская область,618.1990794405043,0.022706479902232034
Лифтовое оборудование,Омская область,,
Лифтовое оборудование,Оренбургская область,659.5633385968132,0.020084843549416576
Лифтовое оборудование,Орловская область,543.3638700338847,-inf
Лифтовое оборудование,Пензенская область,332.18628398414893,-0.00020410671248240151
Лифтовое оборудование,Пермский край,816.2537300825333,-inf
Лифтовое оборудование,Приморский край,818.5898455842987,0.1172927695817339
Лифтовое оборудование,Псковская область,48.039086815764364,0.873973972468396
Лифтовое оборудование,Республика Адыгея,87.5411119165758,-0.6290637219784413
Лифтовое оборудование,Республика Алтай,409.0982678679424,0.0
Лифтовое оборудование,Республика Башкортостан,805.0175652175632,0.0
Лифтовое оборудование,Республика Бурятия,523.1183917542046,0.28150126180906954
Лифтовое оборудование,Республика Дагестан,0.0,1.0
Лифтовое оборудование,Республика Калмыкия,1002.8598345601621,-0.0011600240253864813
Лифтовое оборудование,Республика Карелия,62.41620355867264,0.9075812220379467
Лифтовое оборудование,Республика Коми,169.89587378640778,0.0
Лифтовое оборудование,Республика Крым,30.63593094934128,0.9708428205438809
Лифтовое оборудование,Республика Марий Эл,568.7953536009977,0.03055902467477094
Лифтовое оборудование,Республика Мордовия,405.1914718350719,-0.00103853969731965
Лифтовое оборудование,Республика Саха (Якутия),78.29902448112243,0.0026990380294563614
Лифтовое оборудование,Республика Северная Осетия-Алания,265.2109817240309,0.7691695634680633
Лифтовое оборудование,Республика Татарстан,80.29378020731333,0.0
Лифтовое оборудование,Республика Тыва,538.0606483311765,0.013494532015328997
Лифтовое оборудование,Республика Хакасия,705.3641024329545,0.0879488213020329
Лифтовое оборудование,Ростовская область,231.51410932541597,-inf
Лифтовое оборудование,Рязанская область,43.60634959713445,-inf
Лифтовое оборудование,Самарская область,634.1654822055746,0.018014567182956364
Лифтовое оборудование,Санкт-Петербург,1410.044276974449,0.04217458414282238
Лифтовое оборудование,Саратовская область,,
Лифтовое оборудование,Сахалинская область,0.0,
Лифтовое оборудование,Свердловская область,102.77824044004899,0.8485032518168354
Лифтовое оборудование,Севастополь,423.4497702787999,0.0023621882050576795
Лифтовое оборудование,Смоленская область,,
Лифтовое оборудование,Ставропольский край,168.10067754355615,0.5204900141929858
Лифтовое оборудование,Тамбовская область,609.0847331321332,0.0
Лифтовое оборудование,Тверская область,685.4478198411402,-inf
Лифтовое оборудование,Томская область,166.73429238909424,0.017617585986242287
Лифтовое оборудование,Тульская область,inf,0.0
Лифтовое оборудование,Тюменская область,624.4467590270467,0.12352772583785566
Лифтовое оборудование,Удмуртская Республика,887.2631046377137,-0.013095592078588137
Лифтовое оборудование,Ульяновская область,718.8754290839804,-0.019791322945160755
Лифтовое оборудование,Хабаровский край,633.5054666666275,0.0
Лифтовое оборудование,Ханты-Мансийский автономный округ — Югра,177.00494600374094,0.30479271158758287
Лифтовое оборудование,Челябинская область,23.684479177037268,0.10749641955104394
Лифтовое оборудование,Чеченская Республика,223.99646297493769,0.0
Лифтовое оборудование,Чувашская Республика,538.2094008693591,-0.4645314623778999
Лифтовое оборудование,Ямало-Ненецкий автономный округ,1074.6553682497743,0.07045785531936608
Лифтовое оборудование,Ярославская область,69.82326244924313,0.0
Ремонт кровли ,-,,
Ремонт кровли ,Алтайский край,1749.5037666701844,-0.015299831684001699
Ремонт кровли ,Амурская область,300.3064542293846,0.894494062740479
Ремонт кровли ,Архангельская область,1707.4369109102195,-0.12409168069013275
Ремонт кровли ,Астраханская область,439.71373159349105,1.8618210624819395e-08
Ремонт кровли ,Белгородская область,839.0891897900196,-0.008236497920960683
Ремонт кровли ,Брянская область,376.19574229410966,0.7722514316293241
Ремонт кровли ,Владимирская область,1381.250520471538,-inf
Ремонт кровли ,Волгоградская область,183.24552280104382,0.9062355157760658
Ремонт кровли ,Вологодская область,1973.7909870662286,-inf
Ремонт кровли ,Воронежская область,2059.376293269323,-0.04991831453786269
Ремонт кровли ,Еврейская автономная область,34.421158380392,0.974536037879522
Ремонт кровли ,Забайкальский край,841.9966031858701,-0.03489186160478429
Ремонт кровли ,Ивановская область,191.38084887946113,-inf
Ремонт кровли ,Иркутская область,993.3306297728382,0.1658228998797363
Ремонт кровли ,Кабардино-Балкарская Республика,13.881132476713239,-inf
Ремонт кровли ,Калининградская область,311.74902996320094,0.00846262341325811
Ремонт кровли ,Калужская область,2529.025108128859,-0.21814459402537753
Ремонт кровли ,Камчатский край,1295.7778548320707,0.0742188870637829
Ремонт кровли ,Карачаево-Черкесская Республика,354.0705061868061,0.7565903941322925
Ремонт кровли ,Кемеровская область,1090.59681477788,0.021776996014226224
Ремонт кровли ,Кировская область,908.6571811213817,0.11921399561517372
Ремонт кровли ,Костромская область,176.5537792756681,-inf
Ремонт кровли ,Краснодарский край,845.5299896155462,0.06904603563282942
Ремонт кровли ,Красноярский край,221.59409650448166,0.9199390897643236
Ремонт кровли ,Курганская область,167.8195845540884,-inf
Ремонт кровли ,Курская область,2087.4963367420737,-inf
Ремонт кровли ,Ленинградская область,1713.3012826076383,-inf
Ремонт кровли ,Липецкая область,954.2153920204488,0.007613714996352257
Ремонт кровли ,Магаданская область,3297.5246227977673,0.20223913989674702
Ремонт кровли ,Москва,652.8813415482756,0.0
Ремонт кровли ,Московская область,inf,-inf
Ремонт кровли ,Мурманская область,1659.4259184700172,0.02825889530217443
Ремонт кровли ,Ненецкий автономный округ,3165.5488516840496,-0.03533640105976038
Ремонт кровли ,Нижегородская область,1724.8770667465562,-0.2711633451775817
Ремонт кровли ,Новгородская область,1705.548406237106,0.015442665281775327
Ремонт кровли ,Новосибирская область,1980.6792280261884,0.040977338450179306
Ремонт кровли ,Омская область,1241.1656916996048,0.0
Ремонт кровли ,Оренбургская область,1411.6277564878287,0.03506686716284156
Ремонт кровли ,Орловская область,1673.1075691196447,-inf
Ремонт кровли ,Пензенская область,1231.2724995759963,0.002473682194483427
Ремонт кровли ,Пермский край,609.8888721788891,-1.4627201633385871
Ремонт кровли ,Приморский край,2245.233104603693,0.16260770735916183
Ремонт кровли ,Псковская область,143.68181051918853,0.8651422376793678
Ремонт кровли ,Республика Адыгея,69.65747854689515,-inf
Ремонт кровли ,Республика Алтай,1315.7044116459012,0.05220613258776133
Ремонт кровли ,Республика Башкортостан,1222.2597444782284,0.0009730781706130393
Ремонт кровли ,Республика Бурятия,inf,0.23184992137034266
Ремонт кровли ,Республика Дагестан,29.38354748428375,0.46366015542840106
Ремонт кровли ,Республика Ингушетия,3.3265720081135903,0.9965870307167235
Ремонт кровли ,Республика Калмыкия,2749.803949654155,0.03439584128840461
Ремонт кровли ,Республика Карелия,47.449215345851805,0.9657311309122394
Ремонт кровли ,Республика Коми,863.2250928434439,0.0
Ремонт кровли ,Республика Крым,14.98617380377836,0.9874383567090257
Ремонт кровли ,Республика Марий Эл,1783.8905287240011,-0.11573505120191838
Ремонт кровли ,Республика Мордовия,1390.2824143593377,-0.0003791134821193891
Ремонт кровли ,Республика Саха (Якутия),60.13478533669842,0.28123136266656223
Ремонт кровли ,Республика Северная Осетия-Алания,53.564789262641526,0.9569040298797269
Ремонт кровли ,Республика Татарстан,202.16389131135543,0.0
Ремонт кровли ,Республика Тыва,1613.1720265361341,0.04773224137561653
Ремонт кровли ,Республика Хакасия,1169.458383249491,0.008896568842575881
Ремонт кровли ,Ростовская область,3038.9489706664504,-inf
Ремонт кровли ,Рязанская область,137.7411237726918,-inf
Ремонт кровли ,Самарская область,1327.1350805144357,-0.07543802419876462
Ремонт кровли ,Санкт-Петербург,1315.9296203467131,-0.012810227545948924
Ремонт кровли ,Саратовская область,1067.8819740196668,
Ремонт кровли ,Сахалинская область,1247.977757844716,-inf
Ремонт кровли ,Свердловская область,311.715942490417,0.83746938285775
Ремонт кровли ,Севастополь,2214.3204984567133,0.017126510764748706
Ремонт кровли ,Смоленская область,,
Ремонт кровли ,Ставропольский край,2401.6790327078534,-inf
Ремонт кровли ,Тамбовская область,1126.3424538115444,0.0
Ремонт кровли ,Тверская область,1116.83085991047,-inf
Ремонт кровли ,Томская область,2922.3719783342276,0.04292388467326988
Ремонт кровли ,Тульская область,inf,-inf
Ремонт кровли ,Тюменская область,2519.979516905231,0.08027371440390163
Ремонт кровли ,Удмуртская Республика,1618.7986869118997,-0.010274985560675309
Ремонт кровли ,Ульяновская область,1873.0624052964988,-0.17377233018588456
Ремонт кровли ,Хабаровский край,698.3516095492115,0.0
Ремонт кровли ,Ханты-Мансийский автономный округ — Югра,338.5132212253061,0.31490072084025733
Ремонт кровли ,Челябинская область,47.804112641746805,-inf
Ремонт кровли ,Чеченская Республика,492.88364278459994,0.1008389418184935
Ремонт кровли ,Чувашская Республика,inf,0.029196801230393876
Ремонт кровли ,Чукотский автономный округ,1486.3520566403256,0.013156352622092488
Ремонт кровли ,Ямало-Ненецкий автономный округ,1520.4830514996127,0.08182769573026727
Ремонт кровли ,Ярославская область,1641.3328143371896,0.023251092632711648
Ремонт фасада,-,,
Ремонт фасада,Алтайский край,1885.068383110375,-0.07298151370349995
Ремонт фасада,Амурская область,5.035353723701012,0.9969371485703683
Ремонт фасада,Архангельская область,1569.3834519565712,-0.21505734145638677
Ремонт фасада,Астраханская область,195.46712763639061,0.0
Ремонт фасада,Белгородская область,593.6599674786912,-0.02192114361694181
Ремонт фасада,Брянская область,5.138241032292225,0.9954817904147657
Ремонт фасада,Владимирская область,811.0194898097684,-inf
Ремонт фасада,Волгоградская область,102.15008497939789,0.9503770287792248
Ремонт фасада,Вологодская область,1072.7024079758435,-inf
Ремонт фасада,Воронежская область,2350.095178089557,-inf
Ремонт фасада,Еврейская автономная область,9.350317577851143,0.9956929677662945
Ремонт фасада,Забайкальский край,820.4776593437305,-0.10420476856151573
Ремонт фасада,Ивановская область,66.63740657035747,-inf
Ремонт фасада,Иркутская область,822.0062281207125,0.17204650236636004
Ремонт фасада,Калининградская область,180.23066009567432,0.0050335570469798654
Ремонт фасада,Калужская область,2461.2229916745787,-0.12637480766219766
Ремонт фасада,Камчатский край,4490.054327771397,0.09161288950491961
Ремонт фасада,Карачаево-Черкесская Республика,40.97220811721086,0.923932674462381
Ремонт фасада,Кемеровская область,828.8241157676038,0.023547609334869983
Ремонт фасада,Кировская область,949.5975006871923,0.1104023420358345
Ремонт фасада,Костромская область,46.23005365902336,-inf
Ремонт фасада,Краснодарский край,864.7931587739542,0.06555179929832324
Ремонт фасада,Красноярский край,19.426229146398327,0.9909679417740481
Ремонт фасада,Курганская область,75.16418087503848,0.0873607111330118
Ремонт фасада,Курская область,1533.96129105826,-inf
Ремонт фасада,Ленинградская область,1751.8395219798845,-inf
Ремонт фасада,Липецкая область,714.5259422881168,0.0027427080706188705
Ремонт фасада,Магаданская область,1639.810055593611,0.3375934651437746
Ремонт фасада,Москва,1030.2285165936883,0.0
Ремонт фасада,Московская область,inf,-inf
Ремонт фасада,Мурманская область,1550.5223769813708,-0.02955064698092102
Ремонт фасада,Ненецкий автономный округ,5752.553945964051,-0.4366488948084823
Ремонт фасада,Нижегородская область,1214.759651911975,-0.41825049461943986
Ремонт фасада,Новгородская область,701.0868223190046,0.007721432676782042
Ремонт фасада,Новосибирская область,1504.7276767425487,0.05031855713538425
Ремонт фасада,Омская область,,
Ремонт фасада,Оренбургская область,1220.2219498669485,0.044160186275950246
Ремонт фасада,Орловская область,1149.3912223285279,-inf
Ремонт фасада,Пензенская область,724.6680801691681,0.0
Ремонт фасада,Пермский край,207.96230722193079,0.6849661696431489
Ремонт фасада,Приморский край,1304.5887135104085,0.33110504639341787
Ремонт фасада,Псковская область,63.46425917581424,0.8211496891553742
Ремонт фасада,Республика Адыгея,36.77545474024007,-inf
Ремонт фасада,Республика Алтай,793.9916686909118,0.05074708314263373
Ремонт фасада,Республика Башкортостан,615.7515002151067,0.0005268703898840885
Ремонт фасада,Республика Бурятия,inf,0.25760358440463443
Ремонт фасада,Республика Дагестан,16.41639470160775,0.8507041570927875
Ремонт фасада,Республика Ингушетия,0.0,1.0
Ремонт фасада,Республика Калмыкия,2229.2566021674597,0.0014971721835894776
Ремонт фасада,Республика Карелия,51.02737846242125,0.9464369479656202
Ремонт фасада,Республика Коми,225.82392442135293,0.0
Ремонт фасада,Республика Крым,14.264402383603402,0.9872923727876469
Ремонт фасада,Республика Марий Эл,1025.1321188924903,-0.08397840654146195
Ремонт фасада,Республика Мордовия,1879.3011381133622,0.00096153837567184
Ремонт фасада,Республика Саха (Якутия),93.52347506907506,0.06239527243261282
Ремонт фасада,Республика Северная Осетия-Алания,8.727690871142212,0.9826871099600066
Ремонт фасада,Республика Татарстан,184.40039476307018,0.0
Ремонт фасада,Республика Тыва,1632.9990771957218,0.0371762939568738
Ремонт фасада,Республика Хакасия,2175.538051383082,-0.04570614332964679
Ремонт фасада,Ростовская область,2085.0505696680807,-inf
Ремонт фасада,Рязанская область,23.626128041314388,-inf
Ремонт фасада,Самарская область,1547.0438818610978,-6.186138232249212
Ремонт фасада,Санкт-Петербург,2125.615500770794,-0.32535552173019056
Ремонт фасада,Саратовская область,467.1252458064629,
Ремонт фасада,Сахалинская область,712.3886844450979,-inf
Ремонт фасада,Свердловская область,163.14868970195096,0.7238058693676316
Ремонт фасада,Севастополь,2149.6401683389704,0.06134007130743772
Ремонт фасада,Смоленская область,,
Ремонт фасада,Ставропольский край,2617.092352483431,-inf
Ремонт фасада,Тамбовская область,1169.0065714518325,0.0
Ремонт фасада,Тверская область,433.2472230417203,-inf
Ремонт фасада,Томская область,2127.2889839936274,0.10700484549827348
Ремонт фасада,Тульская область,inf,-inf
Ремонт фасада,Тюменская область,1368.6807042211933,0.13925546494527946
Ремонт фасада,Удмуртская Республика,131.04553742863442,-0.7885931195675145
Ремонт фасада,Ульяновская область,2213.626331543231,-1.035951769443161
Ремонт фасада,Хабаровский край,492.74807249500293,0.0
Ремонт фасада,Ханты-Мансийский автономный округ — Югра,154.83201842625812,-inf
Ремонт фасада,Челябинская область,36.19740021291473,-inf
Ремонт фасада,Чеченская Республика,719.4966742686211,0.05600663634533855
Ремонт фасада,Чукотский автономный округ,1586.9989080332105,0.00016266110687938184
Ремонт фасада,Ямало-Ненецкий автономный округ,1583.904799337379,0.056257328314525235
Ремонт фасада,Ярославская область,1009.3957195073751,-0.14564136415385373
Ремонт фундаментов,-,,
Ремонт фундаментов,Алтайский край,1105.9953123324358,-0.38488335680242663
Ремонт фундаментов,Амурская область,0.0,1.0
Ремонт фундаментов,Архангельская область,4228.683484434231,-0.17080238290553473
Ремонт фундаментов,Астраханская область,196.31969751471004,0.0
Ремонт фундаментов,Белгородская область,108.08544657888567,-0.007804271709152615
Ремонт фундаментов,Брянская область,0.2527983623521194,0.9984489656022006
Ремонт фундаментов,Владимирская область,325.6064238824591,-inf
Ремонт фундаментов,Волгоградская область,23.933570519588514,-inf
Ремонт фундаментов,Вологодская область,646.0359087157568,-inf
Ремонт фундаментов,Воронежская область,586.1568668298415,-0.638044534786526
Ремонт фундаментов,Еврейская автономная область,0.21001514055795945,0.9984637651075964
Ремонт фундаментов,Забайкальский край,598.0410135795231,0.0212726346943322
Ремонт фундаментов,Ивановская область,9.788726024841242,-inf
Ремонт фундаментов,Иркутская область,162.26270086036436,0.10235583040522658
Ремонт фундаментов,Кабардино-Балкарская Республика,0.0,1.0
Ремонт фундаментов,Калининградская область,9.964268732006653,0.024193548387096774
Ремонт фундаментов,Калужская область,296.3330462605783,
Ремонт фундаментов,Камчатский край,487.8720932790672,0.7362030868182885
Ремонт фундаментов,Карачаево-Черкесская Республика,0.278310559940913,0.9949245097243344
Ремонт фундаментов,Кемеровская область,443.387631832451,0.0037571062702963925
Ремонт фундаментов,Кировская область,369.7710241796237,0.08517497581630054
Ремонт фундаментов,Костромская область,19.505550592932558,-inf
Ремонт фундаментов,Краснодарский край,252.9990081532506,0.2674487040660374
Ремонт фундаментов,Красноярский край,1.5167057202713121,0.9973477862671919
Ремонт фундаментов,Курганская область,1.1184571762367612,0.23354891145816686
Ремонт фундаментов,Курская область,183.73440783144815,-inf
Ремонт фундаментов,Ленинградская область,1455.8773101265867,-inf
Ремонт фундаментов,Липецкая область,106.46193581323018,2.0800708373167345e-05
Ремонт фундаментов,Магаданская область,,
Ремонт фундаментов,Москва,254.72395622704565,0.0
